Role,Privilege,Database,Schema
ANALYTICS_ENGINEER,USAGE,BASE,BING_ADS
ANALYTICS_ENGINEER,USAGE,BASE,FB_ADS
ANALYTICS_ENGINEER,USAGE,BASE,GOOGLE_ADS
ANALYTICS_ENGINEER,USAGE,BASE,MAIL_CHIMP
ANALYTICS_ENGINEER,USAGE,DATA_MART_DEV,CORE
ANALYTICS_ENGINEER,USAGE,DATA_MART_DEV,INTERMEDIATE
ANALYTICS_ENGINEER,USAGE,DATA_MART_PROD,CORE
ANALYTICS_ENGINEER,USAGE,DATA_MART_PROD,INTERMEDIATE
ANALYTICS_ENGINEER,CREATE VIEW,BASE,GOOGLE_ADS
ANALYTICS_ENGINEER,CREATE VIEW,BASE,MAIL_CHIMP
ANALYTICS_ENGINEER,CREATE VIEW,BASE,BING_ADS
ANALYTICS_ENGINEER,CREATE VIEW,BASE,FB_ADS
ANALYTICS_ENGINEER,CREATE TABLE,DATA_MART_DEV,INTERMEDIATE
ANALYTICS_ENGINEER,CREATE TABLE,DATA_MART_DEV,CORE
ANALYTICS_ENGINEER,CREATE TABLE,DATA_MART_PROD,INTERMEDIATE
ANALYTICS_ENGINEER,CREATE TABLE,DATA_MART_PROD,CORE
ANALYTICS_ENGINEER,CREATE VIEW,DATA_MART_DEV,INTERMEDIATE
ANALYTICS_ENGINEER,CREATE VIEW,DATA_MART_DEV,CORE
ANALYTICS_ENGINEER,CREATE VIEW,DATA_MART_PROD,INTERMEDIATE
ANALYTICS_ENGINEER,CREATE VIEW,DATA_MART_PROD,CORE
DATA_ANALYST,USAGE,DATA_MART_PROD,CORE
DATA_SCIENTIST,USAGE,DATA_MART_DEV,INTERMEDIATE
DATA_SCIENTIST,CREATE VIEW,DATA_MART_DEV,INTERMEDIATE
DATA_SCIENTIST,CREATE TABLE,DATA_MART_DEV,INTERMEDIATE
DATA_SCIENTIST,USAGE,DATA_MART_DEV,CORE
DATA_SCIENTIST,CREATE VIEW,DATA_MART_DEV,CORE
DATA_SCIENTIST,CREATE TABLE,DATA_MART_DEV,CORE
BUSINESS_USER,USAGE,DATA_MART_PROD,CORE
